Designator,Mid X,Mid Y,Rotation,Layer
BOOT1,20.0151,-3.1,0.0,top
C1,4.6126,7.0866,180.0,top
C2,16.6624,7.1374,0.0,top
C3,7.8994,3.1522,90.0,top
C4,-0.4826,50.772,90.0,top
C5,3.528,24.4094,180.0,top
C6,3.5788,22.4282,180.0,top
D1,9.8974,36.1442,180.0,top
D3,6.858,16.5608,135.0,top
D5,14.735991293038815,24.503348706961198,135.0,top
EN1,0.1,-2.8,0.0,top
J1,10.65,-4.6715,0.0,top
J2,-6.6294,29.6164,0.0,bottom
J3,27.8638,29.5656,0.0,bottom
J4,-6.9,15.2,90.0,top
J5,-6.9,12.0,90.0,top
J6,28.1686,12.1746,0.0,top
R1,6.477,3.1222,90.0,top
R2,5.0586,3.1262,270.0,top
R3,15.9258,35.943,90.0,top
R4,17.4244,35.9664,90.0,top
R5,18.9738,35.943,90.0,top
R6,-2.8702,44.9072,0.0,top
R7,-2.855,42.3926,0.0,top
U1,10.16,46.254999999999995,0.0,top
U2,10.7442,20.7264,45.0,top
U3,10.8513,6.8986,270.0,top
