Designator,Footprint,Quantity,Value,LCSC Part #
"BOOT1, EN1",TS-1088-AR02016,2,SW_Push,C115360
C1,0805,1,10u,C15850
C2,0603,1,22u,C59461
C3,0402,1,1u,C52923
"C4, C5",0402,2,100n,C1525
C6,0402,1,10uF,C1525
D1,D_SOD-323,1,1N5819WS,C191023
D3,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,1,LED,C2830527
D5,LED-SMD_4P-L3.2-W3.0_RS6694-S820B1,1,~,C19944431
J1,USB-C_SMD-TYPE-C-31-M-12 (JLC),1,USB_C_Receptacle_USB2.0_16P,C2988369
"J2, J3",PinHeader_1x05_P2.54mm_Vertical,2,Conn_01x05_Pin,
"J4, J5, J6",PinHeader_1x02_P1.00mm_Vertical,3,Conn_01x02_Pin,
"R1, R2",0402,2,5.1k,C25905
"R3, R4, R5",0402,3,10k,C25744
"R6, R7",0805,2,2K,C17604
U1,ESP32-C3-WROOM-02,1,ESP32-C3-WROOM-02,C2934560
U2,AMS_LGA-20_4.7x4.5mm_P0.65mm,1,AS7263,C2655137
U3,SOT-23-5,1,RT9080-33GJ5,C841192
